status,priority,section,level,company,code,desc,notes
pending,P2,1.3 晶圆代工与先进封装,🇨🇳 封装梯队,晶方科技,603005,TSV/CIS 封装 | 图像传感器封测龙头,
pending,P2,1.3 晶圆代工与先进封装,🇨🇳 封装梯队,晶盛机电,300316,半导体装备 | 未完成合同超 37 亿,
pending,P2,1.3 晶圆代工与先进封装,🇨🇳 Chiplet,芯原股份,688521,Chiplet IP / UCIe 接口 | 芯片 IP 龙头,
pending,P2,1.4 芯片设计 / IP / EDA,,华大九天,301269,EDA 全流程龙头,
pending,P2,1.4 芯片设计 / IP / EDA,,概伦电子,688206,EDA（SPICE/建模）,
pending,P2,1.4 芯片设计 / IP / EDA,,广立微,301095,EDA（良率提升）,
pending,P2,1.4 芯片设计 / IP / EDA,,芯原股份,688521,芯片 IP + 设计服务（全球前七）,
pending,P2,1.4 芯片设计 / IP / EDA,,国芯科技,688262,CPU IP + 定制芯片,
pending,P2,1.4 芯片设计 / IP / EDA,,灿芯股份,688691,芯片设计服务,
pending,P2,1.4 芯片设计 / IP / EDA,,紫光国微,002049,FPGA（Titan/Logos 系列）,
pending,P2,1.4 芯片设计 / IP / EDA,,复旦微电,688385,FPGA + PSoC,
pending,P2,1.4 芯片设计 / IP / EDA,,安路科技,688107,FPGA（PH1A/ELF 系列）,
pending,P2,1.4 芯片设计 / IP / EDA,,瑞芯微,603893,AI SOC 芯片（RK 系列端侧 AI）,
pending,P2,1.4 芯片设计 / IP / EDA,,全志科技,300458,AI SOC 芯片（RISC-V）,
pending,P2,1.4 芯片设计 / IP / EDA,,恒玄科技,688608,AI 音频 SOC,
pending,P2,1.4 芯片设计 / IP / EDA,,晶晨股份,688099,AI 多媒体 SOC,
pending,P1,1.5 半导体设备,🌍 全球设备龙一,应用材料 AMAT,AMAT,薄膜+刻蚀全球龙头 | —,
pending,P1,1.5 半导体设备,🌍 全球设备龙二,泛林 LRCX,LRCX,刻蚀全球龙头 | —,
pending,P1,1.5 半导体设备,🌍 全球量测,科磊 KLAC,KLAC,半导体检测全球龙头 | —,
pending,P1,1.5 半导体设备,🇨🇳 中国设备龙一,北方华创,002371,刻蚀/薄膜/清洗/炉管 | 单季度营收首破百亿,
pending,P1,1.5 半导体设备,🇨🇳 中国设备龙二,中微公司,688012,高端刻蚀+LPCVD/ALD | 净利+197% 创历史新高,
pending,P1,1.5 半导体设备,🇨🇳 中国设备梯队,拓荆科技,688072,CVD/PVD 薄膜设备 | 净利同比增长逾 400%,
pending,P1,1.5 半导体设备,🇨🇳 中国设备梯队,盛美上海,688082,清洗设备龙头 | —,
pending,P1,1.5 半导体设备,🇨🇳 中国设备梯队,华海清科,688120,CMP 设备龙头 | —,
pending,P1,1.5 半导体设备,🇨🇳 中国设备梯队,芯源微,688037,涂胶显影/清洗 | —,
pending,P1,1.5 半导体设备,🇨🇳 中国设备梯队,长川科技,300604,测试机/分选机 | —,
pending,P1,1.5 半导体设备,🇨🇳 中国设备梯队,华峰测控,688200,模拟测试机 | —,
pending,P1,1.5 半导体设备,🇨🇳 中国设备梯队,精测电子,300567,半导体检测设备 | —,
pending,P1,1.5 半导体设备,🇨🇳 中国设备梯队,至纯科技,603690,高纯工艺/湿法清洗 | —,
pending,P1,1.5 半导体设备,🇨🇳 中国设备梯队,万业企业,600641,离子注入机 | —,
pending,P1,1.5 半导体设备,🇨🇳 中国设备梯队,京仪装备,688652,半导体温控/废气处理 | —,
pending,P3,1.6 半导体材料,,🇨🇳 硅片,沪硅产业,688126 | 300mm 大硅片,
pending,P3,1.6 半导体材料,,🇨🇳 硅片,立昂微,605358 | 硅片（轻掺/重掺）,
pending,P3,1.6 半导体材料,,🇨🇳 硅片,TCL 中环,002432 | 大硅片,
pending,P3,1.6 半导体材料,,🇨🇳 CMP,安集科技,688019 | CMP 抛光液（HBM 相关收入占 25%）,
pending,P3,1.6 半导体材料,,🇨🇳 CMP,鼎龙股份,300054 | CMP 抛光垫,
pending,P3,1.6 半导体材料,,🇨🇳 前驱体,雅克科技,002409 | HBM 前驱体国内唯一,
pending,P3,1.6 半导体材料,,🇨🇳 特气,华特气体,688268 | 电子特气,
pending,P3,1.6 半导体材料,,🇨🇳 特气,金宏气体,688106 | 电子特气,
pending,P3,1.6 半导体材料,,🇨🇳 光刻胶,南大光电,300346 | MO 源/ArF 光刻胶,
pending,P3,1.6 半导体材料,,🇨🇳 光刻胶,晶瑞电材,300655 | 光刻胶/超纯试剂,
pending,P3,1.6 半导体材料,,🇨🇳 光刻胶,彤程新材,603650 | 光刻胶（ArF/g-line）,
pending,P3,1.6 半导体材料,,🇨🇳 光刻胶,上海新阳,300236 | 电镀液/清洗液/光刻胶,
pending,P3,1.6 半导体材料,,🇨🇳 靶材,江丰电子,300918 | 溅射靶材,
pending,P3,1.6 半导体材料,,🇨🇳 靶材,有研新材,600206 | 靶材/稀土材料,
pending,P3,1.6 半导体材料,,🇨🇳 填料,联瑞新材,688300 | 硅微粉（封装/覆铜板填料）,
pending,P3,1.6 半导体材料,,🇨🇳 湿化学,江化微,603078 | 超纯湿电子化学品,
pending,P1,1.7 算力租赁与 AIDC（智算中心）,🌍 全球龙一,Equinix,EQIX,零售托管全球龙头 | 2026 年营收指引 101-102 亿美元,
pending,P1,1.7 算力租赁与 AIDC（智算中心）,🌍 全球龙二,Digital Realty,DLR,批发托管全球龙头 | 为 AI 集群提供大功率支持,
pending,P1,1.7 算力租赁与 AIDC（智算中心）,🇨🇳 中国龙一,润泽科技,300442,AIDC 运营龙头 | 规划算力达 6GW,
pending,P1,1.7 算力租赁与 AIDC（智算中心）,🇨🇳 中国特色,协鑫能科,002015,算电协同龙头 | 绿电+储能+算力直供,
pending,P1,1.7 算力租赁与 AIDC（智算中心）,🇨🇳 中国特色,大唐发电,601991,中卫算电协同 | 50 万千瓦光伏直供,
pending,P1,1.7 算力租赁与 AIDC（智算中心）,🇨🇳 IDC,光环新网,300383,一线城市 IDC | AWS 合作伙伴,
pending,P1,1.7 算力租赁与 AIDC（智算中心）,🇨🇳 IDC,数据港,603881,阿里云定制化 IDC | 阿里供应商,
pending,P1,1.7 算力租赁与 AIDC（智算中心）,🇨🇳 IDC,奥飞数据,300738,华南 IDC 龙头 | —,
pending,P1,1.7 算力租赁与 AIDC（智算中心）,🇨🇳 IDC,宝信软件,600845,宝之云 IDC | 钢铁+IDC 双轮,
pending,P1,1.7 算力租赁与 AIDC（智算中心）,🇨🇳 算力调度,首都在线,300846,边缘云/全球云 | 算力调度平台,
pending,P1,1.7 算力租赁与 AIDC（智算中心）,🇨🇳 算力调度,优刻得,688158,中立云服务 | 算力平台,
pending,P1,1.7 算力租赁与 AIDC（智算中心）,🇨🇳 算力调度,网宿科技,300017,CDN + 边缘计算 | 算力网络,
pending,P1,1.8 AI服务器电源管理芯片（PMIC / 模拟芯片） 🆕,,杰华特,688141,AI服务器多相电源/DrMOS/VRM | 虚拟IDM，服务器DrMOS和多相控制器核心标的,
pending,P1,1.8 AI服务器电源管理芯片（PMIC / 模拟芯片） 🆕,,晶丰明源,688368,服务器电源管理/多相控制器 | LED电源→服务器PMIC转型,
pending,P1,1.8 AI服务器电源管理芯片（PMIC / 模拟芯片） 🆕,,思瑞浦,688536,信号链+电源管理(高性能PMIC) | 车规/服务器双线布局,
pending,P1,1.8 AI服务器电源管理芯片（PMIC / 模拟芯片） 🆕,,南芯科技,688484,电荷泵/电源管理芯片 | 手机快充→服务器PMIC,
pending,P1,1.8 AI服务器电源管理芯片（PMIC / 模拟芯片） 🆕,,上海贝岭,600171,电源管理/ADC/信号链 | 央企模拟芯片平台,
pending,P1,1.8 AI服务器电源管理芯片（PMIC / 模拟芯片） 🆕,,翱捷科技,688220,电源管理+物联网SoC | 猫头鹰PMIC系列,
pending,P1,1.8 AI服务器电源管理芯片（PMIC / 模拟芯片） 🆕,,必易微,688045,电源管理芯片 | 快充/适配器/家电→服务器,
pending,P1,1.8 AI服务器电源管理芯片（PMIC / 模拟芯片） 🆕,,希荻微,688173,电源管理/电池管理 | 手机/平板→服务器,
pending,P1,1.8 AI服务器电源管理芯片（PMIC / 模拟芯片） 🆕,,力芯微,688601,电源管理芯片 | 消费电子PMIC,
pending,P1,1.8 AI服务器电源管理芯片（PMIC / 模拟芯片） 🆕,,圣邦股份,300661,高性能模拟芯片(电源/信号链) | 模拟芯片龙一，DDR5配套PMIC,
pending,P1,1.8 AI服务器电源管理芯片（PMIC / 模拟芯片） 🆕,,帝奥微,688381,高性能模拟开关/信号链 | 高速开关/接口,
pending,P1,1.8 AI服务器电源管理芯片（PMIC / 模拟芯片） 🆕,,芯朋微,688508,电源管理IC | 家电→工业→服务器,
pending,P1,1.9 服务器配套（管理芯片 / 时钟晶振 / 高速连接器 / 结构件） 🆕,🌍 BMC龙头(台),信骅,5274.TW,服务器BMC管理芯片全球龙一 | 全球市占超70%,
pending,P1,1.9 服务器配套（管理芯片 / 时钟晶振 / 高速连接器 / 结构件） 🆕,🇨🇳 时钟晶振龙一,泰晶科技,603738,石英晶体谐振器/振荡器/RTC | 625MHz超低抖动晶振，赋能CPO 1.6T/3.2T,
pending,P1,1.9 服务器配套（管理芯片 / 时钟晶振 / 高速连接器 / 结构件） 🆕,🇨🇳 时钟晶振龙二,惠伦晶体,300460,石英晶体元器件 | 车规/服务器级晶振,
pending,P1,1.9 服务器配套（管理芯片 / 时钟晶振 / 高速连接器 / 结构件） 🆕,🇨🇳 时钟晶振梯队,东晶电子,002199,石英晶体谐振器 | 配套服务器/通信,
pending,P1,1.9 服务器配套（管理芯片 / 时钟晶振 / 高速连接器 / 结构件） 🆕,🇨🇳 高速连接器龙一,华丰科技,688629,高速背板连接器(华为昇腾核心伙伴) | 2025年营收252.8亿(+131%)，净利35.9亿,
pending,P1,1.9 服务器配套（管理芯片 / 时钟晶振 / 高速连接器 / 结构件） 🆕,🇨🇳 高速连接器龙二,中航光电,002179,高端连接器(军工/通信) | AI服务器高速I/O,
pending,P1,1.9 服务器配套（管理芯片 / 时钟晶振 / 高速连接器 / 结构件） 🆕,🇨🇳 服务器电源龙一,欧陆通,300870,服务器电源模块 | AI服务器电源模组量产出货,
pending,P1,1.9 服务器配套（管理芯片 / 时钟晶振 / 高速连接器 / 结构件） 🆕,🇨🇳 服务器电源梯队,麦格米特,002851,服务器电源+液冷方案 | PMBus数字电源,
pending,P1,1.9 服务器配套（管理芯片 / 时钟晶振 / 高速连接器 / 结构件） 🆕,🇨🇳 服务器结构件,可立克,002782,磁性元件/结构件 | 服务器电感/变压器,
pending,P2,1.10 芯片散热 / 导热界面材料（TIM）/ 电磁屏蔽（EMI） 🆕,,中石科技,300684,导热界面材料+EMI屏蔽+人工石墨 | AI芯片散热核心，英伟达供应链,
pending,P2,1.10 芯片散热 / 导热界面材料（TIM）/ 电磁屏蔽（EMI） 🆕,,思泉新材,301489,人工石墨散热膜/导热垫片/均温板 | AI服务器散热驱动成长,
pending,P2,1.10 芯片散热 / 导热界面材料（TIM）/ 电磁屏蔽（EMI） 🆕,,方邦股份,688020,电磁屏蔽膜/超薄电解铜箔 | EMI屏蔽膜龙一,
pending,P2,1.10 芯片散热 / 导热界面材料（TIM）/ 电磁屏蔽（EMI） 🆕,,斯迪克,300806,导热/屏蔽胶带 | 功能性涂层复合材料,
pending,P2,1.10 芯片散热 / 导热界面材料（TIM）/ 电磁屏蔽（EMI） 🆕,,博迁新材,605376,镍粉(MLCC/散热材料) | 电子浆料上游,
pending,P2,1.11 半导体量测与检测设备（AI芯片制造关键环节） 🆕,,中科飞测,688361,无图形缺陷检测+光学关键尺寸量测 | 国产量测设备龙一,
pending,P2,1.11 半导体量测与检测设备（AI芯片制造关键环节） 🆕,,华兴源创,688001,半导体SoC/存储测试设备 | 平板→半导体测试转型,
pending,P2,1.11 半导体量测与检测设备（AI芯片制造关键环节） 🆕,,天准科技,688003,精密测量/视觉检测设备 | AI+机器视觉量测,
pending,P2,1.11 半导体量测与检测设备（AI芯片制造关键环节） 🆕,,联动科技,301369,分立器件/功率器件测试机 | 功率半导体测试,
pending,P2,1.11 半导体量测与检测设备（AI芯片制造关键环节） 🆕,,和林微纳,688661,测试探针/MEMS探针卡 | 半导体测试探针国产替代,
pending,P2,1.11 半导体量测与检测设备（AI芯片制造关键环节） 🆕,,赛腾股份,603283,HBM全制程检测设备 | 已列，订单超20亿,
pending,P1,2.1 光模块,🌍 全球龙一,中际旭创,300308,全球光模块市占 28-30% | Q1 营收 195 亿（+192%），净利 57 亿,
pending,P1,2.1 光模块,🌍 全球龙二,新易盛,300502,全球市占 15-18% | 营收 83.38 亿（+105%），净利 27.8 亿,
pending,P1,2.1 光模块,🌍 全球龙三,Coherent,COHR,全球市占 12-15% | 硅光/CPO 双线布局,
pending,P1,2.1 光模块,🌍 全球梯队,Lumentum,LITE,高端放大器龙头 | 2026 财年营收指引 29-31 亿美元,
pending,P1,2.1 光模块,🇨🇳 中国弹性,东山精密,002384,索尔思切入英伟达 | Q1 净利+143%,
pending,P1,2.1 光模块,🇨🇳 中国梯队,剑桥科技,603083,高速光模块供应商 | Q1 净利+276%,
pending,P1,2.1 光模块,🇨🇳 中国梯队,博创科技,300548,光器件齐全 | 盈利能力超预期,
pending,P1,2.1 光模块,🇨🇳 中国梯队,天孚通信,300394,光引擎/FA/光器件 | 光模块上游核心器件龙头,
pending,P1,2.1 光模块,🇨🇳 中国梯队,光迅科技,002281,全系列光模块 + 光芯片 | 央企/烽火系,
pending,P1,2.1 光模块,🇨🇳 中国梯队,联特科技,301205,800G 光模块 | 高速率新锐,
pending,P1,2.1 光模块,🇨🇳 中国梯队,华工科技,000988,光模块 + 光芯片 + 激光 | 多元平台,
pending,P1,2.1 光模块,🇨🇳 中国梯队,德科立,688205,长距离传输光模块 | 骨干网,
pending,P1,2.1 光模块,🇨🇳 中国梯队,太辰光,300570,光纤连接器 MT 插芯 | MT 插芯龙头,
pending,P1,2.1 光模块,🇨🇳 中国梯队,光库科技,300620,无源光器件 | 隔离器/合束器,
pending,P2,2.2 光芯片,🌍 全球龙一,Lumentum,LITE,100G EML 全球市占近 70% | 订单排至 2027 年底,
pending,P2,2.2 光芯片,🌍 全球缺口,**EML 缺口 1.5 亿颗**,—,需求 3.5 亿，产能仅 2 亿 | **国产化率仅 4%**,
pending,P2,2.2 光芯片,🇨🇳 中国龙一,源杰科技,688498,CW 光源+EML 双布局 | 营收 6.01 亿（+138%），扭亏为盈,
pending,P2,2.2 光芯片,🇨🇳 中国龙二,长光华芯,688048,100G EML 量产 | 200G EML 送样,
pending,P2,2.2 光芯片,🇨🇳 中国梯队,仕佳光子,688313,IDM 全功率 CW 光源 | 境外收入+300%,
pending,P2,2.2 光芯片,🇨🇳 中国材料,福晶科技,002222,全球最大 LBO/BBO 晶体 | 光芯片上游基础材料垄断,
pending,P1,2.3 CPO / 硅光,🌍 全球 CPO 龙一,博通,AVGO,CPO 交换机市占最高 | 51.2T Tomahawk 5 CPO 已量产,
pending,P1,2.3 CPO / 硅光,🌍 全球 CPO 先锋,英伟达,NVDA,Scale-out CPO 率先商用 | Spectrum 为 Vera Rubin 标准规格,
pending,P1,2.3 CPO / 硅光,🇨🇳 中国龙一,中际旭创,300308,1.6T CPO 市占约 50%+ | 3.2T 原型机已送样,
pending,P1,2.3 CPO / 硅光,🇨🇳 中国核心,天孚通信,300394,CPO 光引擎市占约 60% | 深度绑定英伟达、谷歌,
pending,P1,2.3 CPO / 硅光,🇨🇳 中国梯队,光迅科技,002281,全球首发 3.2T 硅光 NPO | 国内唯一 MEMS-OCS 量产,
pending,P1,2.3 CPO / 硅光,🇨🇳 中国梯队,华工科技,000988,1.6T 光模块及 3.2T CPO | 硅光芯片到模块全自研,
pending,P1,2.3 CPO / 硅光,🇨🇳 CPO 设备,杰普特,688025,光模块测试/耦合 | 年内+129%,
pending,P1,2.3 CPO / 硅光,🇨🇳 CPO 设备,凌云光,688400,CPO 检测 | Q1 净利+1233%,
pending,P2,2.4 交换机与交换芯片,🌍 全球龙一,思科 CSCO,CSCO,交换机市占超 30% | AI 交换机订单指引 80% 增长,
pending,P2,2.4 交换机与交换芯片,🌍 全球龙二,华为,—,全球数据中心交换机 34-36% | 国内龙一,
pending,P2,2.4 交换机与交换芯片,🌍 全球龙三,Arista,ANET,高速数据中心交换机 | AI 需求爆发,
pending,P2,2.4 交换机与交换芯片,🌍 交换芯片龙一,博通,AVGO,交换芯片市占超 70% | Tomahawk 5 CPO 版量产,
pending,P2,2.4 交换机与交换芯片,🇨🇳 中国龙二,紫光股份,000938,国内交换机市占第二 | 预付款 49.51 亿锁物料,
pending,P2,2.4 交换机与交换芯片,🇨🇳 中国交换芯片,盛科通信,688702,国产交换芯片绝对龙头 | 25.6T 高端芯片已量产,
pending,P2,2.4 交换机与交换芯片,🇨🇳 中国梯队,锐捷网络,301165,400G/800G 交换机 | 高速交换机收入占比大幅提升,
pending,P2,2.4 交换机与交换芯片,🇨🇳 中国梯队,中兴通讯,000063,交换机 + 路由器（自研芯片） | 通信全栈,
pending,P3,2.5 光纤光缆,🌍 全球龙一,康宁,GLW,全球光纤市占约 19% | 英伟达 32 亿美元锁定产能,
pending,P3,2.5 光纤光缆,🌍 全球龙二,长飞光纤,601869,全球市占约 13% | 预制棒份额连续 9 年超 11%,
pending,P3,2.5 光纤光缆,🌍 全球龙三,中天科技,600522,全球市占约 11.3% | Q1 净利+46%,
pending,P3,2.5 光纤光缆,🌍 全球龙四,亨通光电,600487,全球市占约 11.2% | Q1 净利+98.5%,
pending,P3,2.5 光纤光缆,🌍 全球龙六,烽火通信,600498,全球市占约 9.8% | OTN 领域实力雄厚,
pending,P2,2.6 PCB（印制电路板）,,🇨🇳 AI PCB 龙头,沪电股份,002463 | 高多层服务器/交换机 PCB,
pending,P2,2.6 PCB（印制电路板）,,🇨🇳 三强,深南电路,002916 | 封装载板 + 高多层 PCB,
pending,P2,2.6 PCB（印制电路板）,,🇨🇳 三强,兴森科技,002436 | FCBGA 载板,
pending,P2,2.6 PCB（印制电路板）,,🇨🇳 FPC 龙一,鹏鼎控股,002938 | FPC + HDI + SLD,
pending,P2,2.6 PCB（印制电路板）,,🇨🇳 弹性标的,东山精密,002384 | FPC + 通信 PCB + LED,
pending,P2,2.6 PCB（印制电路板）,,🇨🇳 服务器 PCB,胜宏科技,300476 | 高多层/HDI 数据中心板,
pending,P2,2.6 PCB（印制电路板）,,🇨🇳 多元 PCB,景旺电子,603228 | 多品类 PCB（汽车+服务器）,
pending,P2,2.6 PCB（印制电路板）,,🇨🇳 梯队,奥士康,002913 | 多层 PCB（服务器/通信）,
pending,P2,2.6 PCB（印制电路板）,,🇨🇳 梯队,世运电路,300979 | 多层 PCB（汽车/服务器）,
pending,P2,2.6 PCB（印制电路板）,,🇨🇳 梯队,生益电子,688183 | 高端 PCB（服务器/通信）,
pending,P2,2.6 PCB（印制电路板）,,🇨🇳 梯队,崇达技术,002815 | 多层 PCB,
pending,P2,2.7 铜互连 / AEC / ACC / 连接器,,立讯精密,002475,连接器龙头 + 铜互连 + AEC + 整机,
pending,P2,2.7 铜互连 / AEC / ACC / 连接器,,神宇股份,300563,高速铜缆（DAC 线缆）,
pending,P2,2.7 铜互连 / AEC / ACC / 连接器,,沃尔核材,002130,高速通信线材（铜互连材料）,
pending,P2,2.7 铜互连 / AEC / ACC / 连接器,,金信诺,300252,高速连接器 + 线缆,
pending,P2,2.7 铜互连 / AEC / ACC / 连接器,,鼎通科技,688668,I/O 连接器组件,
pending,P2,2.7 铜互连 / AEC / ACC / 连接器,,奕东电子,301123,FPC/连接器/精密组件,
pending,P2,2.7 铜互连 / AEC / ACC / 连接器,,得润电子,002055,电子连接器,
pending,P2,2.7 铜互连 / AEC / ACC / 连接器,,徕木股份,603633,精密连接器,
pending,P2,2.7 铜互连 / AEC / ACC / 连接器,,中航光电,002179,高端连接器（军工/通信）,
pending,P2,2.7 铜互连 / AEC / ACC / 连接器,,航天电器,002025,高端连接器（军工）,
pending,P2,2.7 铜互连 / AEC / ACC / 连接器,,意华股份,002897,通信连接器,
pending,P2,2.7 铜互连 / AEC / ACC / 连接器,,电连技术,300679,射频连接器,
pending,P2,2.7 铜互连 / AEC / ACC / 连接器,,长盈精密,300115,连接器/屏蔽件/结构件,
pending,P3,2.8 覆铜板（CCL）,,生益科技,600183,覆铜板（全球龙一）,
pending,P3,2.8 覆铜板（CCL）,,金安国纪,002636,覆铜板（中低端）,
pending,P3,2.8 覆铜板（CCL）,,华正新材,603186,覆铜板 + 绝缘材料,
pending,P3,2.8 覆铜板（CCL）,,超华科技,002288,覆铜板 + PCB,
pending,P3,2.8 覆铜板（CCL）,,南亚新材,688519,覆铜板,
pending,P3,2.8 覆铜板（CCL）,,宏昌电子,603002,覆铜板用环氧树脂,
pending,P3,2.9 光通信精密光学元件 🆕,🇨🇳 龙一,腾景科技,688195,精密光学元件(滤波片/偏振器件/隔离器) | 400G/800G高速光模块,
pending,P3,2.9 光通信精密光学元件 🆕,🇨🇳 梯队,福晶科技,002222,全球最大LBO/BBO晶体 | 已列，光学晶体垄断级,
pending,P3,2.9 光通信精密光学元件 🆕,🇨🇳 梯队,波长光电,301421,红外/可见光精密光学元件 | 光通信+激光双线,
pending,P3,2.9 光通信精密光学元件 🆕,🇨🇳 梯队,蓝特光学,688127,精密光学元件(玻璃非球面透镜) | 车载+光通信,
pending,P3,2.9 光通信精密光学元件 🆕,🇨🇳 梯队,炬光科技,688167,激光光学/光刻用光学系统 | 高功率激光光学,
pending,P3,2.9 光通信精密光学元件 🆕,🇨🇳 梯队,奥普光电,002338,光电测控/精密光学 | 光栅编码器+光学元件,
pending,P2,2.10 光电子器件陶瓷/金属封装外壳 🆕,,中瓷电子,003031,电子陶瓷外壳(AI氮化铝基板) | 全球双寡头之一，光通信陶瓷封装全球领先，AlN薄膜基板批量供货,
pending,P2,2.10 光电子器件陶瓷/金属封装外壳 🆕,,三环集团,300408,陶瓷插芯/陶瓷封装基座(全球龙一) | 光纤连接器陶瓷插芯全球份额超70%,
pending,P2,2.10 光电子器件陶瓷/金属封装外壳 🆕,,宏发股份,600885,继电器+陶瓷封装 | 光通信器件陶瓷管壳,
pending,P3,2.11 磷化铟 / 铌酸锂 / 光电化合物材料 🆕,,云南锗业,002428,磷化铟(InP)衬底/砷化镓(GaAs)衬底 | InP晶片用于光模块激光器/探测器，国内稀缺量产,
pending,P3,2.11 磷化铟 / 铌酸锂 / 光电化合物材料 🆕,,天通股份,600330,铌酸锂晶片(光调制器材料) | SAW滤波器/光调制器用铌酸锂晶片,
